time,tx,id,power,lon,lat,dbm
0,500,16,5.00E-13,3.06045,50.63294,-123
0.02,500,16,5.00E-13,3.06045,50.63294,-123
0.04,500,16,5.01E-13,3.06045,50.63294,-123
0.06,500,16,5.02E-13,3.06045,50.63294,-123
0,501,20,1.67E-10,3.06742,50.63554,-98
0.02,501,20,1.31E-10,3.06742,50.63554,-99
0.04,501,20,2.62E-10,3.06742,50.63554,-96
0.06,501,20,4.81E-10,3.06742,50.63554,-93
0,501,26,6.95E-11,3.0692,50.63502,-102
0.02,501,26,7.63E-11,3.0692,50.63502,-101
0.04,501,26,2.19E-10,3.0692,50.63502,-97
0.06,501,26,1.54E-10,3.0692,50.63502,-98
0,501,10,2.75E-12,3.06965,50.63221,-116
0.02,501,10,1.13E-12,3.06965,50.63221,-119
0.04,500,10,1.57E-12,3.06965,50.63221,-118
0.06,501,10,2.90E-12,3.06965,50.63221,-115
0.02,501,30,2.38E-17,3.06432,50.63619,-166
0.04,501,30,2.37E-17,3.06432,50.63619,-166
0.06,501,30,2.37E-17,3.06432,50.63619,-166
0,500,27,3.47E-11,3.06757,50.63208,-105
0.02,500,27,3.42E-11,3.06757,50.63208,-105
0.04,500,27,3.79E-11,3.06757,50.63208,-104
0.06,500,27,4.60E-11,3.06757,50.63208,-103
0,500,14,3.30E-09,3.06392,50.63262,-85
0.02,500,14,7.00E-08,3.06392,50.63262,-72
0.04,500,14,7.01E-08,3.06392,50.63262,-72
0.06,500,14,8.51E-09,3.06392,50.63262,-81
0,501,25,1.77E-12,3.06956,50.63261,-118
0.02,501,25,1.40E-12,3.06956,50.63261,-119
0.04,501,25,1.27E-12,3.06956,50.63261,-119
0.06,501,25,1.38E-12,3.06956,50.63261,-119
0,500,41,2.96E-12,3.06091,50.63531,-115
0.02,500,41,4.02E-12,3.06091,50.63531,-114
0.04,500,41,5.07E-12,3.06091,50.63531,-113
0.06,500,41,6.01E-12,3.06091,50.63531,-112
0,500,19,5.78E-12,3.06135,50.63486,-112
0.02,500,19,4.11E-12,3.06135,50.63486,-114
0.04,500,19,4.50E-12,3.06135,50.63486,-113
0.06,500,19,5.50E-12,3.06135,50.63486,-113
0,501,40,4.49E-12,3.06476,50.63588,-113
0.02,501,40,5.29E-12,3.06476,50.63588,-113
0.04,501,40,2.00E-12,3.06476,50.63588,-117
0.06,501,40,1.73E-12,3.06476,50.63588,-118
0,500,2,1.54E-10,3.06521,50.63314,-98
0.02,500,2,1.73E-10,3.06521,50.63314,-98
0.04,500,2,2.96E-10,3.06521,50.63314,-95
0.06,500,2,4.20E-10,3.06521,50.63314,-94
0,501,39,6.54E-12,3.0684,50.63656,-112
0.02,501,39,3.93E-11,3.0684,50.63656,-104
0.04,501,39,3.20E-11,3.0684,50.63656,-105
0.06,501,39,1.38E-11,3.0684,50.63656,-109
0,500,18,6.42E-09,3.06259,50.63296,-82
0.02,500,18,7.47E-09,3.06259,50.63296,-81
0.04,500,18,7.60E-09,3.06259,50.63296,-81
0.06,500,18,6.64E-09,3.06259,50.63296,-82
0,501,43,1.79E-11,3.06608,50.63579,-107
0.02,501,43,1.63E-11,3.06608,50.63579,-108
0.04,501,43,1.47E-11,3.06608,50.63579,-108
0.06,501,43,1.31E-11,3.06608,50.63579,-109
0,500,32,8.66E-10,3.06976,50.63396,-91
0.02,500,32,1.21E-09,3.06976,50.63396,-89
0.04,500,32,1.44E-09,3.06976,50.63396,-88
0.06,500,32,1.58E-09,3.06976,50.63396,-88
0,501,35,4.45E-10,3.06942,50.63577,-94
0.02,501,35,2.89E-10,3.06942,50.63577,-95
0.04,501,35,2.05E-10,3.06942,50.63577,-97
0.06,501,35,1.51E-10,3.06942,50.63577,-98
0,500,12,4.53E-12,3.05942,50.63204,-113
0.02,500,12,4.37E-12,3.05942,50.63204,-114
0.04,500,12,4.22E-12,3.05942,50.63204,-114
0.06,500,12,4.07E-12,3.05942,50.63204,-114
0,500,45,1.02E-08,3.05754,50.63436,-80
0.02,500,45,5.70E-11,3.05754,50.63436,-102
0.04,500,45,2.98E-11,3.05754,50.63436,-105
0.06,500,45,4.29E-11,3.05754,50.63436,-104
0,500,33,1.69E-11,3.06566,50.63332,-108
0.02,501,33,2.34E-11,3.06566,50.63332,-106
0.04,500,33,8.41E-11,3.06566,50.63332,-101
0.06,500,33,2.23E-10,3.06566,50.63332,-97
0,500,15,1.68E-08,3.05949,50.63288,-78
0.02,500,15,2.73E-08,3.05949,50.63288,-76
0.04,500,15,2.17E-08,3.05949,50.63288,-77
0.06,500,15,4.17E-08,3.05949,50.63288,-74
0,500,8,1.67E-13,3.06324,50.63218,-128
0.02,500,8,1.58E-13,3.06324,50.63218,-128
0.04,500,8,1.54E-13,3.06324,50.63218,-128
0.06,500,8,1.56E-13,3.06324,50.63218,-128
0,500,38,3.10E-08,3.06048,50.63248,-75
0.02,500,38,1.73E-08,3.06048,50.63248,-78
0.04,500,38,2.25E-08,3.06048,50.63248,-76
0.06,500,38,5.41E-08,3.06048,50.63248,-73
0,501,47,2.21E-13,3.06546,50.6337,-127
0.02,501,47,2.07E-13,3.06546,50.6337,-127
0.04,501,47,2.08E-13,3.06546,50.6337,-127
0.06,501,47,2.08E-13,3.06546,50.6337,-127
0,500,36,3.67E-12,3.06607,50.63187,-114
0.02,500,36,1.54E-12,3.06607,50.63187,-118
0.04,501,36,3.22E-13,3.06607,50.63187,-125
0.06,500,36,5.46E-12,3.06607,50.63187,-113
0,501,29,7.48E-12,3.06707,50.63558,-111
0.02,501,29,8.86E-12,3.06707,50.63558,-111
0.04,501,29,1.51E-11,3.06707,50.63558,-108
0.06,501,29,1.97E-11,3.06707,50.63558,-107
0,500,17,1.66E-10,3.06141,50.63328,-98
0.02,500,17,1.88E-10,3.06141,50.63328,-97
0.04,500,17,2.01E-10,3.06141,50.63328,-97
0.06,500,17,2.19E-10,3.06141,50.63328,-97
0,500,42,2.19E-10,3.05733,50.63295,-97
0.02,500,42,1.76E-10,3.05733,50.63295,-98
0.04,500,42,3.27E-10,3.05733,50.63295,-95
0.06,500,42,1.15E-10,3.05733,50.63295,-99
0,500,22,6.88E-12,3.06588,50.63311,-112
0.02,500,22,7.03E-12,3.06588,50.63311,-112
0.04,500,22,7.13E-12,3.06588,50.63311,-111
0.06,500,22,7.22E-12,3.06588,50.63311,-111
0,500,28,3.28E-06,3.0602,50.63189,-55
0.02,500,28,3.34E-06,3.0602,50.63189,-55
0.04,500,28,3.31E-06,3.0602,50.63189,-55
0.06,500,28,3.21E-06,3.0602,50.63189,-55
0,500,23,5.60E-10,3.05817,50.63413,-93
0.02,500,23,6.69E-10,3.05817,50.63413,-92
0.04,500,23,5.52E-10,3.05817,50.63413,-93
0.06,500,23,1.15E-09,3.05817,50.63413,-89
0,501,48,5.84E-11,3.06693,50.63668,-102
0.02,501,48,7.50E-11,3.06693,50.63668,-101
0.04,501,48,6.46E-11,3.06693,50.63668,-102
0.06,501,48,4.07E-11,3.06693,50.63668,-104
0,500,37,1.01E-11,3.05996,50.63673,-110
0.02,500,37,1.03E-11,3.05996,50.63673,-110
0.04,500,37,1.01E-11,3.05996,50.63673,-110
0.06,500,37,9.78E-12,3.05996,50.63673,-110
0,501,21,2.23E-10,3.06891,50.63619,-97
0.02,501,21,2.31E-10,3.06891,50.63619,-96
0.04,501,21,2.42E-10,3.06891,50.63619,-96
0.06,501,21,2.53E-10,3.06891,50.63619,-96
0,501,7,2.01E-10,3.06856,50.63685,-97
0.02,501,7,1.95E-10,3.06856,50.63685,-97
0.04,501,7,1.89E-10,3.06856,50.63685,-97
0.06,501,7,1.84E-10,3.06856,50.63685,-97
0,501,34,4.48E-08,3.06559,50.63699,-73
0.02,501,34,4.21E-08,3.06559,50.63699,-74
0.04,501,34,5.15E-08,3.06559,50.63699,-73
0.06,501,34,8.82E-09,3.06559,50.63699,-81
0,500,44,9.69E-07,3.06121,50.6319,-60
0.02,500,44,8.45E-07,3.06121,50.6319,-61
0.04,500,44,1.12E-06,3.06121,50.6319,-60
0.06,500,44,8.85E-07,3.06121,50.6319,-61
0,501,31,1.07E-11,3.06599,50.63689,-110
0.02,501,31,1.59E-11,3.06599,50.63689,-108
0.04,501,31,2.27E-11,3.06599,50.63689,-106
0.06,501,31,3.03E-11,3.06599,50.63689,-105
